slug,title,created_at,question_id,python_path,cpp_path_mirror,cpp_path_global
longest-palindromic-path-in-graph,Longest Palindromic Path in Graph,2025-07-13,3930,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3615__longest-palindromic-path-in-graph/python/longest-palindromic-path-in-graph.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3615__longest-palindromic-path-in-graph/cpp_gpt/longest-palindromic-path-in-graph.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/longest-palindromic-path-in-graph/longest-palindromic-path-in-graph.cpp
network-recovery-pathways,Network Recovery Pathways,2025-07-19,3919,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3620__network-recovery-pathways/python/network-recovery-pathways.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3620__network-recovery-pathways/cpp_gpt/network-recovery-pathways.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/network-recovery-pathways/network-recovery-pathways.cpp
number-of-integers-with-popcount-depth-equal-to-k-i,Number of Integers With Popcount-Depth Equal to K I,2025-07-19,3937,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3621__number-of-integers-with-popcount-depth-equal-to-k-i/python/number-of-integers-with-popcount-depth-equal-to-k-i.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3621__number-of-integers-with-popcount-depth-equal-to-k-i/cpp_gpt/number-of-integers-with-popcount-depth-equal-to-k-i.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/number-of-integers-with-popcount-depth-equal-to-k-i/number-of-integers-with-popcount-depth-equal-to-k-i.cpp
number-of-integers-with-popcount-depth-equal-to-k-ii,Number of Integers With Popcount-Depth Equal to K II,2025-07-20,3941,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3624__number-of-integers-with-popcount-depth-equal-to-k-ii/python/number-of-integers-with-popcount-depth-equal-to-k-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3624__number-of-integers-with-popcount-depth-equal-to-k-ii/cpp_gpt/number-of-integers-with-popcount-depth-equal-to-k-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/number-of-integers-with-popcount-depth-equal-to-k-ii/number-of-integers-with-popcount-depth-equal-to-k-ii.cpp
partition-array-for-maximum-xor-and-and,Partition Array for Maximum XOR and AND,2025-07-27,3882,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3630__partition-array-for-maximum-xor-and-and/python/partition-array-for-maximum-xor-and-and.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3630__partition-array-for-maximum-xor-and-and/cpp_gpt/partition-array-for-maximum-xor-and-and.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/partition-array-for-maximum-xor-and-and/partition-array-for-maximum-xor-and-and.cpp
threshold-majority-queries,Threshold Majority Queries,2025-08-02,3955,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3636__threshold-majority-queries/python/threshold-majority-queries.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3636__threshold-majority-queries/cpp_gpt/threshold-majority-queries.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/threshold-majority-queries/threshold-majority-queries.cpp
trionic-array-ii,Trionic Array II,2025-08-03,3956,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3640__trionic-array-ii/python/trionic-array-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3640__trionic-array-ii/cpp_gpt/trionic-array-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/trionic-array-ii/trionic-array-ii.cpp
next-special-palindrome-number,Next Special Palindrome Number,2025-08-10,3951,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3646__next-special-palindrome-number/python/next-special-palindrome-number.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3646__next-special-palindrome-number/cpp_gpt/next-special-palindrome-number.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/next-special-palindrome-number/next-special-palindrome-number.cpp
minimum-cost-path-with-teleportations,Minimum Cost Path with Teleportations,2025-08-16,3889,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3651__minimum-cost-path-with-teleportations/python/minimum-cost-path-with-teleportations.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3651__minimum-cost-path-with-teleportations/cpp_gpt/minimum-cost-path-with-teleportations.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/minimum-cost-path-with-teleportations/minimum-cost-path-with-teleportations.cpp
sum-of-beautiful-subsequences,Sum of Beautiful Subsequences,2025-08-31,3989,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3671__sum-of-beautiful-subsequences/python/sum-of-beautiful-subsequences.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3671__sum-of-beautiful-subsequences/cpp_gpt/sum-of-beautiful-subsequences.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/sum-of-beautiful-subsequences/sum-of-beautiful-subsequences.cpp
